bid,name,pattern,subPattern,expected,got,delta,deltaAbs
4517847,Ludicin - Onus Rēgulus [In Abyss],ln,Unsigned,17,14.78,2.22,2.22
5029140,Various Artist - 4K LN Dan Courses - EXTRA - [17th Dan - Yeehee (Marathon)],ln,Unsigned,17,14.95,2.05,2.05
5366651,Ludicin - Blossom of Ashes [Divination of Calamity],ln,density,14.5,13.52,0.98,0.98
5366777,takehirotei - 定时地狱 ~The Perpetual Chaotically Unsynced Pendulum~ [Convergence],ln,Unsigned,14,12.92,1.08,1.08
4824023,Laur - 国士無双 [LN bukbuk],ln,Unsigned,14.8,14.25,0.55,0.55
4732296,ウォルピスカーター - Oxalis [Imitation],ln,Unsigned,13.6,12.80,0.80,0.80
4652576,Xyris - Eviternity [LN Eviternity],ln,Unsigned,14.4,13.55,0.85,0.85
3793375,ああ…翡翠茶漬け… - stεganography [Cipher Encryption],ln,Unsigned,13.8,13.86,-0.06,0.06
4398536,Various Artists - Begin's 4K LN Pack Level 3 [Nanahoshi Kangengakudan - Andromeda],ln,density,15.2,13.51,1.69,1.69
4398537,Various Artists - Begin's 4K LN Pack Level 3 [ROKINA - Icicle Stinger],ln,density,15.4,13.57,1.83,1.83
2808346,Dark Sambaland[Easy](mizuki) x1.05,jack,anchor chordjack,14.6,14.86,-0.26,0.26
3580764,Dark Sambaland[Easy](mizuki) x1.2,jack,anchor chordjack,16.4,14.78,1.62,1.62
3245370,Martial Arts(xingren),jack,anchor chordjack,10.5,10.78,-0.28,0.28
3245369,Martial Arts(xingren) x1.05,jack,anchor chordjack,11,11.24,-0.24,0.24
3245376,Martial Arts(xingren) x1.3,jack,anchor chordjack,14.6,14.79,-0.19,0.19
3245375,Martial Arts(xingren) x1.35,jack,anchor chordjack,15,14.84,0.16,0.16
3245377,Martial Arts(xingren) x1.4,jack,anchor chordjack,15.4,14.85,0.55,0.55
3887441,Echo(ice v) x1.1,jack,anchor chordjack,14.5,14.88,-0.38,0.38
4485050,Deep Down(shibeplanet) x0.95,jack,anchor chordjack,12.4,12.21,0.19,0.19
4496828,Deep Down(shibeplanet),jack,anchor chordjack,13.4,13.17,0.23,0.23
4485051,Deep Down(shibeplanet) x1.05,jack,anchor chordjack,13.8,13.97,-0.17,0.17
3918921,Deep Down(shibeplanet) x1.1,jack,anchor chordjack,14.4,15.09,-0.69,0.69
4485052,Deep Down(shibeplanet) x1.15,jack,anchor chordjack,15,14.84,0.16,0.16
3918922,Deep Down(shibeplanet) x1.2,jack,anchor chordjack,15.4,14.95,0.45,0.45
4485053,Deep Down(shibeplanet) x1.25,jack,anchor chordjack,16,15.04,0.96,0.96
1347529,Precious You(frolica) x1.1,jack,anchor chordjack,11,10.66,0.34,0.34
1347530,Precious You(frolica) x1.2,jack,anchor chordjack,12.8,12.50,0.30,0.30
1347531,Precious You(frolica) x1.3,jack,anchor chordjack,14,14.00,0.00,0.00
3875257,Zillion Lights(rachel),jack,anchor chordjack,13.8,13.87,-0.07,0.07
3875255,Zillion Lights(rachel) x1.1,jack,anchor chordjack,14.5,14.95,-0.45,0.45
3875256,Zillion Lights(rachel) x1.2,jack,anchor chordjack,15.5,15.00,0.50,0.50
1612787,Far in the blue sky[42](1nar) x0.9,jack,anchor chordjack,13,12.88,0.12,0.12
2793588,Far in the blue sky[42](1nar) x0.95,jack,anchor chordjack,13.8,13.44,0.36,0.36
2793593,Far in the blue sky[42](1nar),jack,anchor chordjack,14.4,14.32,0.08,0.08
2793589,Far in the blue sky[42](2nar) x1.05,jack,anchor chordjack,14.7,14.98,-0.28,0.28
2793590,Far in the blue sky[42](2nar) x1.1,jack,anchor chordjack,15.4,15.07,0.33,0.33
2793591,Far in the blue sky[42](2nar) x1.15,jack,anchor chordjack,15.7,15.05,0.65,0.65
2793592,Far in the blue sky[42](2nar) x1.2,jack,anchor chordjack,16,14.72,1.28,1.28
2295003,Daichi ni Saku Senritsu(rachel) x1.1,jack,anchor chordjack,12,11.72,0.28,0.28
2295004,Daichi ni Saku Senritsu(rachel) x1.2,jack,anchor chordjack,13.6,13.96,-0.36,0.36
2295005,Daichi ni Saku Senritsu(rachel) x1.3,jack,anchor chordjack,14.4,14.96,-0.56,0.56
2295006,Daichi ni Saku Senritsu(rachel) x1.4,jack,anchor chordjack,15.4,15.01,0.39,0.39
3442422,PAM!!!(mongol) x1.1,jack,dense chordjack,13.4,13.29,0.11,0.11
3442423,PAM!!!(mongol) x1.2,jack,dense chordjack,14.6,14.94,-0.34,0.34
3442424,PAM!!!(mongol) x1.3,jack,dense chordjack,15,15.00,0.00,0.00
3442426,PAM!!!(mongol),jack,dense chordjack,12,11.70,0.30,0.30
3442425,PAM!!!(mongol) x1.4,jack,dense chordjack,16.2,14.79,1.41,1.41
4405082,Onyx Veil(ltd),jack,dense chordjack,14.5,14.62,-0.12,0.12
4405077,Onyx Veil(ltd) x1.1,jack,dense chordjack,15.4,15.00,0.40,0.40
3749286,KING(ade maine) x0.95,jack,dense chordjack,14.6,15.02,-0.42,0.42
3749289,KING(ade maine),jack,dense chordjack,15.4,15.03,0.37,0.37
3749288,KING(ade maine) x1.05,jack,dense chordjack,16,14.78,1.22,1.22
3110936,Sendan Life(opakyl) x1.2,jack,dense chordjack,15,15.02,-0.02,0.02
1889333,CG901B[impossible](rachel) x0.9,jack,dense chordjack,11,10.93,0.07,0.07
1889340,CG902B[impossible](rachel),jack,dense chordjack,13.2,12.95,0.25,0.25
1889336,CG903B[impossible](rachel) x1.1,jack,dense chordjack,14,14.27,-0.27,0.27
1889338,CG904B[impossible](rachel) x1.2,jack,dense chordjack,15,15.05,-0.05,0.05
2808366,Tsuki Ai Tsuki Yo(zino) x1.1,jack,dense chordjack,14.6,15.08,-0.48,0.48
3321433,Exile(rachel),jack,dense chordjack,14.6,15.00,-0.40,0.40
3321436,Mutwa(rachel),jack,dense chordjack,16,14.80,1.20,1.20
3249972,Why We Lose(ena) x1.3,jack,dense chordjack,12,11.82,0.18,0.18
3249973,Why We Lose(ena) x1.4,jack,dense chordjack,13.4,13.14,0.26,0.26
2690149,Lemon Tree(lemmie),jack,dense chordjack,14,13.29,0.71,0.71
3663002,STRONG 280(isxi) x1.25,jack,dense chordjack,16.4,14.77,1.63,1.63
2827581,ch3rry(my angel koishi) x1.4,stamina,dense handstream,14,14.07,-0.07,0.07
2486099,Sorairo Days(icyworld) x1.5,stamina,dense handstream,14,13.98,0.02,0.02
5195214,ANOMALY(lynessa) x1.31,stamina,dense handstream,14,14.02,-0.02,0.02
3123873,FUTURE DOMINATORS(icyworld),stamina,dense handstream,9,10.05,-1.05,1.05
3123869,FUTURE DOMINATORS(icyworld) x1.1,stamina,dense handstream,11,11.41,-0.41,0.41
3123870,FUTURE DOMINATORS(icyworld) x1.2,stamina,dense handstream,13.2,13.03,0.17,0.17
3123871,FUTURE DOMINATORS(icyworld) x1.3,stamina,dense handstream,14,13.95,0.05,0.05
3123872,FUTURE DOMINATORS(icyworld) x1.4,stamina,dense handstream,14.6,14.48,0.12,0.12
5430558,Cartoon Candy(lynessa) x1.05,stamina,dense handstream,14,13.96,0.04,0.04
4681531,Cartoon Candy(lynessa) x1.2,stamina,dense handstream,15.2,14.58,0.62,0.62
3593323,Blackmagik Blazing(teradora),stamina,dense handstream,14,13.50,0.50,0.50
3928951,Ragnarok(lynessa) x1.07,stamina,dense handstream,13.4,12.99,0.41,0.41
4421699,H.A.R.D.C.O.R.E(dannypx),stamina,dense handstream,12.8,12.01,0.79,0.79
1644635,Zenon(halogen) x1.5,stamina,dense handstream,14,13.95,0.05,0.05
3681222,CRIMSON FIGHTER[Armageddon](oxalicacid) x0.9,stamina,dense handstream,11.8,11.50,0.30,0.30
2168030,SILENT DESERT(teradora),stamina,dense handstream,14.4,13.85,0.55,0.55
3755311,SILENT DESERT(e9v2) x1.2,stamina,dense handstream,16.4,14.60,1.80,1.80
3588134,Nibelungen(lynessa) x1.1,stamina,dense handstream,13,12.77,0.23,0.23
3535954,Heavens Fall(teradora),stamina,dense handstream,9,9.76,-0.76,0.76
3535945,Heavens Fall(teradora) x1.05,stamina,dense handstream,9.5,10.23,-0.73,0.73
3535947,Heavens Fall(teradora) x1.1,stamina,dense handstream,10.5,11.08,-0.58,0.58
3535946,Heavens Fall(teradora) x1.15,stamina,dense handstream,11.4,11.76,-0.36,0.36
3535949,Heavens Fall(teradora) x1.2,stamina,dense handstream,12.5,12.03,0.47,0.47
3535948,Heavens Fall(teradora) x1.25,stamina,dense handstream,13,12.91,0.09,0.09
3535950,Heavens Fall(teradora) x1.35,stamina,dense handstream,14,13.80,0.20,0.20
3535952,Heavens Fall(teradora) x1.45,stamina,dense handstream,14.7,14.47,0.23,0.23
4133253,Love is War(night bunny) x1.15,stamina,dense handstream,12.4,12.33,0.07,0.07
5407219,Love is War(night bunny) x1.33,stamina,dense handstream,14,14.01,-0.01,0.01
4632845,Dimension War(oceanus),stamina,dense handstream,15.4,14.60,0.80,0.80
4758417,KOKUSHIMUSOU(oceanus) x0.95,stamina,dense handstream,15.4,14.60,0.80,0.80
4758412,KOKUSHIMUSOU(oceanus),stamina,dense handstream,16,14.58,1.42,1.42
1753421,Quadraphinix(xay) x1.3,stamina,dense handstream,12.4,11.81,0.59,0.59
1753422,Quadraphinix(xay) x1.4,stamina,dense handstream,13.5,13.18,0.32,0.32
5120065,MEGALOMANIA(omni),stamina,dense handstream,14,13.58,0.42,0.42
2110279,MEGALOMANIA(rachel),stamina,dense handstream,14,13.42,0.58,0.58
3850572,Perfect Cherry Storm(teradora) x1.45,stamina,dense handstream,14.6,14.55,0.05,0.05
4786209,Inner Universe(teradora) x1.885,stamina,dense handstream,16.6,14.65,1.95,1.95
5370949,Inner Universe(teradora) x1.755,stamina,dense handstream,15.4,14.62,0.78,0.78
1304131,Chaoz Airflow(icyworld) x1.2,stamina,dense handstream,10.4,9.82,0.58,0.58
4476886,Bluenation(xingyue) x1.2,stamina,dense handstream,11,11.69,-0.69,0.69
4476891,Bluenation(xingyue) x1.4,stamina,dense handstream,13.6,13.24,0.36,0.36
4476908,Bluenation(xingyue) x1.45,stamina,dense handstream,14,13.34,0.66,0.66
3850571,STRONG 280(sp7v2),stamina,dense handstream,14.6,14.60,0.00,0.00
2292214,Serment(xingyue) x1.3,stamina,dense handstream,13.7,13.24,0.46,0.46
473228,FREEDOM DIVE(DIMENSIONS),stamina,dense jumpstream,10,10.38,-0.38,0.38
3157010,Fragment(my angel koish) x1.4,stamina,dense jumpstream,13,12.97,0.03,0.03
1453293,Burst Linker(wafles) x1.3,stamina,dense jumpstream,12.6,12.35,0.25,0.25
5195395,Burst Linker(wafles) x1.47,stamina,dense jumpstream,14,13.98,0.02,0.02
1938168,Cyber Inductance(icyworld) x1.3,stamina,dense jumpstream,12,11.93,0.07,0.07
4589562,Cyber Inductance(icyworld) x1.47,stamina,dense jumpstream,14,13.70,0.30,0.30
2196122,Cyber Inductance(icyworld) x1.7,stamina,dense jumpstream,15.4,14.95,0.45,0.45
4310620,Cyber Inductance(icyworld) x1.525,stamina,dense jumpstream,14.4,14.17,0.23,0.23
1699290,Pacific Girls(icyworld) x1.5,stamina,dense jumpstream,15,14.56,0.44,0.44
3854148,Over the Fullereneshift(fullerene) x1.4,stamina,dense jumpstream,13.8,13.81,-0.01,0.01
1425975,Japanese Transformation(fullerene) x1.2,stamina,dense jumpstream,14.5,15.06,-0.56,0.56
787944,The Empress(underjoy) x1.05,stamina,dense jumpstream,14,13.95,0.05,0.05
2701198,Time to Say Goodbye(halogen) x1.15,stamina,dense jumpstream,14,13.85,0.15,0.15
2701200,Time to Say Goodbye(halogen) x1.2,stamina,dense jumpstream,14.4,14.66,-0.26,0.26
2633097,Sakazuki(Rachel),jack,high chordjack,12.8,12.90,-0.10,0.10
4597208,Sakazuki(Rachel) x1.05,jack,high chordjack,13.4,13.44,-0.04,0.04
3630235,Sakazuki(Rachel) x1.1,jack,high chordjack,14,14.19,-0.19,0.19
3630234,Sakazuki(Rachel) x0.9,jack,high chordjack,11.8,11.03,0.77,0.77
3630236,Sakazuki(Rachel) x1.2,jack,high chordjack,14.8,14.98,-0.18,0.18
3630237,Sakazuki(Rachel) x1.3,jack,high chordjack,16,14.70,1.30,1.30
3663000,Sakazuki(Rachel) x1.35,jack,high chordjack,16.5,14.76,1.74,1.74
3521930,Hiasobi(focogamer) x1.1,jack,high chordjack,12.8,13.12,-0.32,0.32
3521932,Hiasobi(focogamer) x1.2,jack,high chordjack,14,14.39,-0.39,0.39
3928116,Joker(Rachel),jack,high chordjack,15.4,15.04,0.36,0.36
3887322,Dark Sambaland x1.2,jack,high chordjack,13.8,14.24,-0.44,0.44
1705687,Flower Dance(hievery) x1.3,jack,high chordjack,10.6,10.85,-0.25,0.25
1705688,Flower Dance(hievery) x1.4,jack,high chordjack,12,11.12,0.88,0.88
2121684,Hitogata(ice v),jack,high chordjack,13.6,14.16,-0.56,0.56
2727203,Hitogata(ice v) x1.05,jack,high chordjack,14.4,14.58,-0.18,0.18
4387971,Hitogata(ice v) x1.15,jack,high chordjack,15,15.01,-0.01,0.01
3479384,I Love It(lynessa),jack,high chordjack,10.5,11.28,-0.78,0.78
3479388,I Love It(lynessa) x1.2,jack,high chordjack,14,14.64,-0.64,0.64
2808358,I Love It(lynessa) x1.3,jack,high chordjack,15,14.90,0.10,0.10
4584948,Dat Phonk(smokydoh),jack,high chordjack,13.6,14.23,-0.63,0.63
4584946,Dat Phonk(smokydoh) x0.9,jack,high chordjack,12.4,12.70,-0.30,0.30
4072972,Dat Phonk(smokydoh) x1.1,jack,high chordjack,14.8,15.02,-0.22,0.22
4072973,Dat Phonk(smokydoh) x1.15,jack,high chordjack,15.1,14.76,0.34,0.34
3841896,MURDER IN MY MIND x1.2,jack,high chordjack,13,12.94,0.06,0.06
2802345,Hari no Sora(xingyue) x1.2,jack,high chordjack,13.6,13.35,0.25,0.25
5430570,Hari no Sora(xingyue) x1.27,jack,high chordjack,14,14.33,-0.33,0.33
3545958,Unmeiron(ena),jack,high chordjack,14.9,15.00,-0.10,0.10
3545959,Unmeiron(ena) x0.95,jack,high chordjack,14.6,14.41,0.19,0.19
2818882,Hustler(xingyue),jack,high chordjack,12.8,12.93,-0.13,0.13
3986998,Hustler(xingyue) x1.05,jack,high chordjack,13.4,13.41,-0.01,0.01
3987000,Hustler(xingyue) x1.15,jack,high chordjack,14.6,15.02,-0.42,0.42
3986995,Hustler(xingyue) x1.2,jack,high chordjack,15,15.04,-0.04,0.04
3986999,Hustler(xingyue) x1.25,jack,high chordjack,15.4,15.06,0.34,0.34
3986997,Hustler(xingyue) x1.3,jack,high chordjack,16,14.84,1.16,1.16
3509184,Seen(ena),jack,high chordjack,13.4,13.10,0.30,0.30
3509180,Seen(ena) x1.05,jack,high chordjack,14,14.40,-0.40,0.40
3509181,Seen(ena) x1.15,jack,high chordjack,15,15.00,0.00,0.00
3509183,Seen(ena) x1.2,jack,high chordjack,15.6,14.99,0.61,0.61
3662982,Seen(ena) x1.25,jack,high chordjack,16,14.83,1.17,1.17
3576374,Can't Give it Up(jhown),jack,high chordjack,13,13.15,-0.15,0.15
3576378,Can't Give it Up(jhown) x1.2,jack,high chordjack,15,14.98,0.02,0.02
2357903,Triumphal Return(doudou0310) x1.2,jack,high chordjack,13.7,14.34,-0.64,0.64
2357902,Triumphal Return(doudou0310) x1.25,jack,high chordjack,14.4,15.07,-0.67,0.67
2357904,Triumphal Return(doudou0310) x1.3,jack,high chordjack,14.8,14.95,-0.15,0.15
3526591,Triumphal Return(doudou0310) x1.4,jack,high chordjack,15.6,15.02,0.58,0.58
3182551,Dusk(mintapril),jack,high chordjack,8,9.91,-1.91,1.91
3182552,Dusk(mintapril) x1.1,jack,high chordjack,11,10.99,0.01,0.01
3182553,Dusk(mintapril) x1.2,jack,high chordjack,12.6,12.90,-0.30,0.30
3182554,Dusk(mintapril) x1.3,jack,high chordjack,13.6,13.95,-0.35,0.35
4633597,Darling Dance(rachel),jack,high chordjack,14,14.01,-0.01,0.01
4633595,Darling Dance(rachel) x1.1,jack,high chordjack,15,15.00,0.00,0.00
4633594,Darling Dance(rachel) x1.15,jack,high chordjack,15.4,15.02,0.38,0.38
4633596,Darling Dance(rachel) x1.2,jack,high chordjack,16.4,14.78,1.62,1.62
4622294,KEEP IT UP(ltd) x1.4,jack,high chordjack,16.6,14.81,1.79,1.79
2808334,Deconstruction Star(xuecai),jack,high chordjack,13.6,14.33,-0.73,0.73
3412538,Deconstruction Star(xuecai) x1.15,jack,high chordjack,15.6,14.76,0.84,0.84
4637635,YoiYoi Kokon(lynessa) x1.05,jack,high chordjack,13.6,13.15,0.45,0.45
4408173,GOODTEK(signicial),jack,high chordjack,15.2,14.90,0.30,0.30
2716033,The Light(blue potion),jack,high chordjack,13.6,14.19,-0.59,0.59
2963655,The Light(blue potion) x1.1,jack,high chordjack,15.8,15.01,0.79,0.79
4103082,Idol(laoxiao),jack,high chordjack,14,14.29,-0.29,0.29
3687776,Flowering(ena),jack,high chordjack,14,13.07,0.93,0.93
3687774,Flowering(ena) x1.1,jack,high chordjack,14.5,14.59,-0.09,0.09
3687775,Flowering(ena) x1.2,jack,high chordjack,16,15.02,0.98,0.98
4383327,Observation(jhown) x0.8,jack,high chordjack,14,14.24,-0.24,0.24
4383328,Observation(jhown) x0.85,jack,high chordjack,14.6,14.92,-0.32,0.32
4383329,Observation(jhown) x0.9,jack,high chordjack,15.4,15.00,0.40,0.40
4383330,Observation(jhown) x0.95,jack,high chordjack,16,14.83,1.17,1.17
4383325,Observation(jhown),jack,high chordjack,16.4,14.82,1.58,1.58
4794368,Rengetsu Outa(jhown),jack,high chordjack,14,13.25,0.75,0.75
4794371,Rengetsu Outa(jhown) x1.05,jack,high chordjack,14.4,14.16,0.24,0.24
4010382,Please(hikarnayo),jack,high chordjack,14.4,14.63,-0.23,0.23
3321435,Lost One no Goukoku(rachel),jack,high chordjack,15,14.99,0.01,0.01
4387962,Break It(ice v),jack,high chordjack,15,15.00,0.00,0.00
1066057,Break(loved),jack,high chordjack,11,11.11,-0.11,0.11
3065264,Break(loved) x1.2,jack,high chordjack,14.4,14.55,-0.15,0.15
3065265,Break(loved) x1.3,jack,high chordjack,15,14.95,0.05,0.05
3095005,Break(loved) x1.4,jack,high chordjack,16,14.83,1.17,1.17
3816043,Bookmaker(rachel),jack,high chordjack,14.3,14.49,-0.19,0.19
2862626,Bookmaker(rachel) x1.05,jack,high chordjack,14.6,15.08,-0.48,0.48
2289290,Anhedonia[38](8230),jack,high chordjack,15.2,15.00,0.20,0.20
3125227,Anhedonia[38](8230) x0.95,jack,high chordjack,14.7,14.95,-0.25,0.25
3125228,Anhedonia[38](8230) x1.05,jack,high chordjack,15.6,14.85,0.75,0.75
2497871,Sky is the Limit(aeyeong),jack,high chordjack,13,13.11,-0.11,0.11
1990238,Sky is the Limit(aeyeong) x1.1,jack,high chordjack,14.5,14.42,0.08,0.08
4487955,OdoRobo(jinkill) x1.1,jack,high chordjack,14.1,14.12,-0.02,0.02
3476974,Don't let you down(rg8v3),jack,high chordjack,7.9,8.35,-0.45,0.45
3476968,Kikai Shoujo Gensou(rg9v3),jack,high chordjack,8.5,10.95,-2.45,2.45
3824604,Hifumi Daisuki[Hard](Magikarp1234),jack,high chordjack,13.6,13.10,0.50,0.50
4010826,Re Aoharu(magikarp),jack,high chordjack,4.8,4.65,0.15,0.15
4388484,hurricanic(stupud man),speed,high stream,14,13.98,0.02,0.02
3171267,hurricanic(stupud man) x1.05,speed,high stream,14.4,14.24,0.16,0.16
4388482,hurricanic(stupud man) x1.1,speed,high stream,15,14.80,0.20,0.20
4388481,hurricanic(stupud man) x1.15,speed,high stream,15.4,15.01,0.39,0.39
4388483,hurricanic(stupud man) x1.2,speed,high stream,16,15.04,0.96,0.96
3358944,Volcanic(attang) x0.8,speed,high stream,11,10.19,0.81,0.81
3358945,Volcanic(attang) x0.9,speed,high stream,12.5,12.31,0.19,0.19
2808935,Volcanic(attang) x1.05,speed,high stream,14.4,14.00,0.40,0.40
3358946,Volcanic(attang) x1.1,speed,high stream,15,15.03,-0.03,0.03
2965239,Volcanic(attang) x1.15,speed,high stream,15.4,15.02,0.38,0.38
3358947,Volcanic(attang) x1.2,speed,high stream,16,15.04,0.96,0.96
3321837,Yozakura(ska) x0.9,speed,high stream,13.6,12.91,0.69,0.69
3321838,Yozakura(ska) x0.95,speed,high stream,14,13.61,0.39,0.39
3321840,Yozakura(ska),speed,high stream,14.3,13.71,0.59,0.59
3321839,Yozakura(ska) x1.05,speed,high stream,14.6,14.80,-0.20,0.20
1455991,Moon Gate x1.2,speed,high stream,14.6,13.99,0.61,0.61
5255749,Moon Gate x1.25,speed,high stream,15,14.96,0.04,0.04
5195385,Blue Noah 2006[Lv.28](attang) 0.95,speed,high stream,14,13.55,0.45,0.45
1496206,Blue Noah 2006[Lv.28](attang),speed,high stream,14.6,13.97,0.63,0.63
1644632,Blue Noah 2006[Lv.28](attang) x1.1,speed,high stream,15.4,15.04,0.36,0.36
1990237,Angel Dust(tachyon) x1.1,speed,high stream,14.4,13.93,0.47,0.47
3294543,Misery(signicial) x1.1,speed,high stream,14,14.44,-0.44,0.44
3294542,Misery(signicial) x1.15,speed,high stream,14.6,14.72,-0.12,0.12
3294546,Misery(signicial) x1.2,speed,high stream,15,15.03,-0.03,0.03
3294544,Misery(signicial) x1.25,speed,high stream,15.4,15.02,0.38,0.38
3294549,Misery(signicial) x1.3,speed,high stream,16,15.03,0.97,0.97
3294547,Misery(signicial) x1.35,speed,high stream,16.4,15.04,1.36,1.36
2875457,Angel's Salad(penguinosity),tech,jack tech,11,10.86,0.14,0.14
2860220,Forgotten[Collab(2015)],tech,jack tech,11,10.76,0.24,0.24
2860210,Forgotten[Collab(2015)] x1.05,tech,jack tech,12,11.57,0.43,0.43
2860212,Forgotten[Collab(2015)] x1.1,tech,jack tech,12.4,12.48,-0.08,0.08
3755586,Odoru Mizushibuki x1.2,tech,jack tech,12.6,12.52,0.08,0.08
3755587,Odoru Mizushibuki x1.3,tech,jack tech,13.6,13.69,-0.09,0.09
3755588,Odoru Mizushibuki x1.4,tech,jack tech,14.6,14.38,0.22,0.22
3168876,Odoru Mizushibuki x1.43,tech,jack tech,15,14.22,0.78,0.78
3824635,Usagi Flap[Tech](Magikarp1234),tech,jack tech,10.5,10.69,-0.19,0.19
4606873,Still Into You(ska) x1.16,tech,jack tech,13.4,13.30,0.10,0.10
3322182,BLUE ARMY[UNFORGIVING ASSAULT],stamina,light handstream,13.4,12.91,0.49,0.49
4610329,BLUE ARMY[UNFORGIVING ASSAULT] x1.06,stamina,light handstream,13.8,13.16,0.64,0.64
3645838,The Empress(underjoy) x1.1,stamina,light handstream,14.6,14.44,0.16,0.16
3645837,The Empress(underjoy) x1.15,stamina,light handstream,15,14.53,0.47,0.47
5194163,Firmament Castle Velier x1.3,stamina,light handstream,14,13.18,0.82,0.82
4589591,Speed of Link[Tachyon](shoegazer) 1.23,stamina,light jumpstream,14,13.96,0.04,0.04
3348224,FAKE PROMISE(shoegazer) x1.4,stamina,light jumpstream,12.8,12.41,0.39,0.39
2972845,Gekka Bijin(hylotl),stamina,light jumpstream,14.4,13.73,0.67,0.67
2567896,The Fate of(blessia),stamina,light jumpstream,14,13.95,0.05,0.05
1887431,Aquaris(snover) x1.2,jack,low chordjack,13,12.85,0.15,0.15
1426702,Double Universe(hydria),jack,low chordjack,14,14.36,-0.36,0.36
3476969,Koi Kou Enishi(rg3v3),jack,low chordjack,3.6,4.64,-1.04,1.04
3476970,Umiyuri Kaiteitan(rg4v3),jack,low chordjack,4.1,3.28,0.82,0.82
3476971,Platinum Disco(rg5v3),jack,low chordjack,5,5.84,-0.84,0.84
3476972,Chocolate Disco(rg6v3),jack,low chordjack,5.8,5.93,-0.13,0.13
3928690,Reflec Streamz(gamma) x1.15,speed,low stream,14.6,14.37,0.23,0.23
3251778,Lalala.Refrain[HD](snowph),speed,low stream,13.8,13.78,0.02,0.02
3251776,Lalala.Refrain[HD](snowph) x1.1,speed,low stream,14.6,14.81,-0.21,0.21
3989159,Luminous Memory(super10killer),speed,low stream,14,13.71,0.29,0.29
3989154,Luminous Memory(super11killer) x0.9,speed,low stream,13.4,12.31,1.09,1.09
5430556,Gloom(jesen) x1.25,jack,mid chordjack,13.9,13.99,-0.09,0.09
1779696,Gloom(jesen) x1.3,jack,mid chordjack,14.4,14.40,0.00,0.00
3211370,The Truth Never Spoken(rachel) x1.05,jack,mid chordjack,13.4,13.21,0.19,0.19
3260898,The Truth Never Spoken(rachel) x1.1,jack,mid chordjack,13.8,13.58,0.22,0.22
2308947,Vertex Beta(spz cut) x0.9,jack,mid chordjack,14.6,14.61,-0.01,0.01
3321440,Valkyrie Revolutia(rachel),jack,mid chordjack,16.4,14.94,1.46,1.46
4704824,M-A[impossible jack](wllk2) x0.85,jack,mid chordjack,13.9,14.07,-0.17,0.17
5561111,manual of youth(tsumikiyuzu) x1.3,jack,mid chordjack,14,14.58,-0.58,0.58
3476973,Don't Stop The Music(rg7v3),jack,mid chordjack,6.7,6.81,-0.11,0.11
4262736,oddloop(teradora),speed,mid stream,12.2,11.83,0.37,0.37
4670616,Toromi Hearts 2(rachel),speed,mid stream,14.6,14.60,0.00,0.00
3163355,Palette(rachel) x1.2,speed,mid stream,14.6,14.93,-0.33,0.33
1631150,Green-Eyed Jealousy[True End](rachel),speed,mid stream,14.6,14.92,-0.32,0.32
3824601,GGF(magikarp),speed,mid stream,10.9,10.16,0.74,0.74
4432306,Hyper Bass(11bit) x1.35,tech,mix tech,15,14.97,0.03,0.03
4237589,KOKUSHIMUSOU(nate) x1.15,tech,mix tech,14.6,14.93,-0.33,0.33
4432307,Looking for Edge of Ground(evening) x1.15,tech,mix tech,14.6,15.06,-0.46,0.46
2162156,We Could Get More Machinegun Psystyle!(hydria),tech,mix tech,13.5,13.40,0.10,0.10
3853701,We Could Get More Machinegun Psystyle!(hydria) x1.05,tech,mix tech,14,14.10,-0.10,0.10
5195211,K.Y.A.F.A[UNSTOPPABLE DOMINATION](evening) x1.227,tech,mix tech,14,14.04,-0.04,0.04
1699242,Trickstarz[STEPMANIA](hi19hi19) x1.3,speed,staircase,15,14.24,0.76,0.76
3755273,Green-Eyed Jealousy(e9v2),speed,staircase,17.6,15.09,2.51,2.51
1158910,Shadows of Cats(wafles) x1.0,tech,stream tech,12.2,11.11,1.09,1.09
5195273,Shadows of Cats(wafles) x1.25,tech,stream tech,14,13.94,0.06,0.06
4776927,Weird Autumn(emik) x1.2,tech,stream tech,14,13.87,0.13,0.13
4776929,Weird Autumn(emik) x1.3,tech,stream tech,14.6,14.21,0.39,0.39
3053763,oddloop(ska),tech,stream tech,11.6,10.39,1.21,1.21
3942033,oddloop(ska) x1.3,tech,stream tech,15,14.51,0.49,0.49
1712332,northern_limit(underjoy),tech,stream tech,15.6,14.65,0.95,0.95
3494225,Kimiyo[Agapimenoi](frolica),tech,stream tech,14.2,13.65,0.55,0.55
3494228,Kimiyo[Eirini](frolica),tech,stream tech,13.6,13.37,0.23,0.23
2981901,Acquaintance(skwid),tech,stream tech,10,9.95,0.05,0.05
2981895,Acquaintance(skwid) x1.05,tech,stream tech,11,10.99,0.01,0.01
2981897,Acquaintance(skwid) x1.1,tech,stream tech,12,12.33,-0.33,0.33
2981896,Acquaintance(skwid) x1.15,tech,stream tech,13,12.82,0.18,0.18
2981899,Acquaintance(skwid) x1.2,tech,stream tech,13.5,13.02,0.48,0.48
2981898,Acquaintance(skwid) x1.25,tech,stream tech,14,13.45,0.55,0.55
2981900,Acquaintance(skwid) x1.3,tech,stream tech,14.3,14.17,0.13,0.13
